Site,Date,Turbidity(NTU) at 12AM,Turbidity(NTU) at 4AM,Turbidity(NTU) at 8AM,Turbidity(NTU) at 12PM,Turbidity(NTU) at 4PM,Turbidity(NTU) at 8PM,Average 24hrTurbidity(NTU),"Coliform, Fecal(fc/100mL)"
DEL18DT,2020-03-17,0.8,0.8,0.65,0.7,0.75,0.6,0.72,<1
DEL18DT,2020-03-08,0.85,0.85,0.9,0.75,0.8,0.75,0.82,<1
DEL18DT,2020-03-01,0.75,0.8,0.8,0.75,0.7,0.8,0.77,E2
DEL18DT,2020-03-21,0.65,0.7,0.75,0.8,0.8,0.8,0.75,<1
DEL18DT,2020-03-27,0.75,0.75,0.7,0.65,0.65,0.7,0.7,<1
DEL18DT,2020-03-29,0.95,0.95,0.95,0.9,0.75,0.85,0.89,<1
DEL18DT,2020-03-10,0.75,0.75,0.75,0.7,0.65,0.65,0.71,E6
DEL18DT,2020-03-16,0.8,0.85,0.75,0.8,0.7,0.8,0.78,<1
DEL18DT,2020-03-13,0.75,0.75,0.75,0.75,0.65,0.7,0.73,<1
DEL18DT,2020-03-22,0.8,0.85,0.85,0.85,0.85,0.85,0.84,<1
DEL18DT,2020-03-02,0.8,0.75,0.7,0.85,0.7,0.8,0.77,E2
DEL18DT,2020-03-11,0.65,0.7,0.75,0.7,0.65,0.7,0.69,E1
DEL18DT,2020-05-09,0.7,0.65,0.6,0.65,0.6,0.65,0.64,E2
DEL18DT,2020-05-06,0.65,0.65,0.65,0.55,0.7,0.7,0.65,<1
DEL18DT,2020-05-01,0.75,0.75,0.75,0.6,0.6,0.65,0.68,E2
DEL18DT,2020-05-11,0.75,0.75,0.75,0.85,0.8,0.8,0.78,<1
DEL18DT,2020-05-18,0.9,0.8,0.8,0.85,0.85,0.75,0.83,E1
DEL18DT,2020-05-20,0.75,0.75,0.75,0.85,0.7,0.8,0.77,<1
DEL18DT,2020-05-04,0.75,0.7,0.7,0.7,0.65,0.65,0.69,<1
DEL18DT,2020-05-16,0.7,0.7,0.75,0.7,0.9,0.85,0.77,E1
DEL18DT,2020-05-25,0.85,0.8,0.8,0.8,0.75,0.85,0.81,<1
DEL18DT,2020-05-07,0.7,0.75,0.65,0.6,0.7,0.65,0.68,<1
DEL18DT,2020-05-12,0.75,0.7,0.7,0.65,0.8,0.75,0.73,E2
DEL18DT,2020-05-24,0.8,0.8,0.8,0.75,0.75,0.85,0.79,<1
DEL18DT,2020-05-10,0.65,0.65,0.7,0.75,0.7,0.7,0.69,E2
DEL18DT,2020-09-18,0.75,0.75,0.75,0.65,0.95,0.7,0.76,E2
DEL18DT,2020-09-17,0.7,0.7,0.7,0.7,0.7,0.7,0.7,E1
DEL18DT,2020-09-02,0.7,0.65,0.65,0.65,0.65,0.7,0.67,E3
DEL18DT,2020-09-24,0.7,0.8,0.7,0.75,0.75,0.75,0.74,<1
