"","Source","Turbidity","Ecoli","Precipitation","Temperature"
"337","17",0.78,"E2",0,-1.7
"338","0",0.57,"E3",4.3,-1.1
"339","2",0.77,"<1",0,-7.2
"340","3",0.83,"E1",0,-2.2
"341","6",0.84,"<1",0,-9.4
"342","4",0.78,"E1",4.6,-3.3
"343","1",0.79,"E1",6.6,-13.3
"344","1",0.75,"E4",19.1,1.7
"345","2",0.79,"E3",0,-4.4
"346","2",0.67,"E4",10.7,2.2
"347","2",0.86,"E2",0,-8.9
"348","0",0.78,"E3",0,-6.7
"349","2",0.93,"<1",0,-2.8
"350","4",0.91,"E1",15,5.6
"351","3",0.85,"<1",0,2.8
"352","2",0.88,"<1",8.1,6.1
"353","1",0.74,"<1",0,4.4
"354","2",0.71,"E1",2,3.3
"355","3",0.85,"<1",0,10
"356","0",0.7,"E1",22.9,7.8
"357","3",0.88,"<1",1,6.1
"358","7",1.15,"E3",0,11.7
"359","2",1.06,"E5",0.5,8.3
"360","1",0.93,"<1",0,18.9
"362","0",0.88,"<1",5.8,16.7
"363","0",0.83,"E2",0,20.6
"364","1",0.78,"<1",0,22.8
"365","0",0.59,"E3",32.3,13.9
"366","1",0.62,"E1",0,20
"367","1",0.63,"E1",0,15.6
"368","1",0.59,"E4",54.4,21.1
"369","1",0.59,"E3",0,21.7
"370","0",0.93,"E11",0,11.7
"371","1",0.78,"E3",0,20.6
"372","0",0.55,"E1",0.5,20
"373","2",0.55,"E2",0,17.2
